# Emitted HealthCheckResult check_name strings -- GENERATED, do not hand-edit.
# Regenerate: python3 scripts/ci/check_health_check_names.py --refresh
# One line per check method: the method, then every check_name string it emits.
# train.py's FATAL_HEALTH_CHECKS filter matches the EMITTED name, not the method
# name; the two diverge for some checks, and that is what this file shows (#1355).
<outside> scientific_metadata_expected_outcome
check_dispersion_bloch_ae_config dispersion_identifiability dispersion_monotonicity_weight_positive
check_domain_alignment domain_alignment
check_dp_compatible_optimizer dp_compatible_optimizer
check_early_stopping_metric_compatibility early_stopping_metric_compatibility
check_ei_robust_key_matches_correction ei_robust_key_matches_correction
check_ei_sensing_margin ei_sensing_margin
check_epochs_max_iterations_mutex epochs_max_iterations_mutex
check_field_cocycle_arm field_cocycle_arm field_cocycle_fidelity_nonzero field_cocycle_reference_in_range field_cocycle_single_model
check_field_strength_declared field_strength_declared
check_hardcoded_cluster_paths hardcoded_cluster_paths
check_hilbert_square_pow_two hilbert_square_pow_two
check_ib_beta_positive ib_beta_positive
check_identity_paths_agree identity_paths_agree
check_infonce_effective_batch_size_sufficient infonce_effective_batch_size_sufficient
check_knob_applicability knob_applicability
check_kspace_percentile_range kspace_percentile_range
check_kspace_scale_domain_is_declared kspace_scale_domain_is_declared
check_latent_decode_resolution latent_decode_resolution
check_lion_learning_rate_scale lion_learning_rate_scale
check_loss_domain_block_match loss_domain_block_match
check_loss_domain_consistency loss_domain_consistency
check_loss_weight_declaration_ssot loss_weight_declaration_ssot
check_m4raw_nex_target_mode_declared m4raw_nex_target_mode_declared
check_mamba_models_require_mamba_ssm mamba_models_require_mamba_ssm
check_marker_kappa_in_tissue_range marker_kappa_in_tissue_range
check_marker_subspace_conditioning marker_subspace_conditioning
check_mcgi_invariance_declared mcgi_invariance_declared
check_metric_backend_available metric_backend_available
check_metric_channel_compatibility metric_channel_compatibility
check_metric_domain_matches_loss_output metric_domain_matches_loss_output
check_metric_names_are_registered metric_names_are_registered
check_metric_transforms_agree metric_transforms_agree
check_model_contract_declared model_contract_declared
check_model_loss_output_domain model_loss_output_domain
check_model_registry model_registry
check_mrixfields_pairing_viable mrixfields_pairing_viable
check_multi_contrast_model_support multi_contrast_model_support
check_namespace_axis namespace_axis
check_nav_encoder_input_is_dc_kspace nav_encoder_input_is_dc_kspace
check_normalization_kspace_compatibility normalization_kspace_compatibility
check_normalize_kspace_image_norm_mutex normalize_kspace_image_norm_mutex
check_nr_metrics_research_mode nr_metrics_research_mode
check_operator_id_config bch_order_supported covariance_rank_bound krylov_dim_valid operator_basis_registered
check_operator_posterior_requires_complex operator_posterior_requires_complex
check_optimizer_registered optimizer_registered
check_output_dir_convention output_dir_convention
check_paired_synthesis_requires_prior_and_calibration paired_synthesis_requires_prior_and_calibration
check_paradigm_required_fields paradigm_required_fields
check_patch_size_power_of_two patch_size_power_of_two
check_pathology_test_set_size pathology_test_set_size_sufficient
check_pde_synthetic_datasets pde_synthetic_datasets
check_persistent_workers_on_short_epoch persistent_workers_on_short_epoch
check_phase3_model_constraints phase3_model_constraints
check_phase_stego_basis_compatible phase_stego_basis_compatible_with_image_shape
check_physics_config physics_config
check_pilot_hardware_constraints_sane pilot_hardware_constraints_sane
check_pin_memory_no_cuda pin_memory_no_cuda
check_registered_model_resolves registered_model_resolves
check_repetition_count_is_achievable repetition_count_is_achievable
check_required_sections required_section
check_reveal_attribution_preconditions reveal_attribution_preconditions
check_robust_ssdu_key_matches_correction robust_ssdu_key_matches_correction
check_scientific_metadata scientific_metadata_primary_metric
check_sfc_scan_mode_matches_spatial_dims sfc_scan_mode
check_slice_level_records_queue_shape slice_level_records_queue_shape
check_spectra_backend_schema spectra_backend_schema
check_spectra_gridding_sized spectra_gridding_sized
check_spectra_precision_envelope spectra_precision_envelope
check_ssdu_selection_density_range ssdu_selection_density_range
check_strategy_class_resolves strategy_class_resolves
check_strategy_registry strategy_registry
check_svd_compression_phase_safety svd_compression_phase_safety
check_target_domain_matches_registered_output_domain target_domain_output_domain
check_themed_strategy_requires_themed_component themed_strategy_requires_themed_component
check_time_keys_within_num_timesteps time_keys_within_num_timesteps
check_timesteps_vs_step_buckets timesteps_vs_step_buckets
check_tissue_diffusion_pretrain_requires_field_strength_conditioning tissue_diffusion_pretrain_requires_field_strength_conditioning
check_train_val_split_leakage train_val_split_leakage
check_trajectory_metric_requires_matching_parametrization trajectory_metric_requires_matching_parametrization
check_trajectory_recon_requires_measured_emit trajectory_recon_requires_measured_emit
check_transform_names_are_registered transform_names_are_registered
check_tta_adapter_only tta_adapter_only
check_twin_dps_guidance_scales_finite_and_positive twin_dps_guidance_scales_finite_and_positive
check_vae_pretrain_autoencodes_single_field vae_pretrain_autoencodes_single_field
check_val_batch_size val_batch_size
check_validation_badge_gates_complete validation_badge_gates_complete
check_validation_cascade_levels_in_range validation_cascade_levels_in_range
check_validation_image_domain_safe validation_image_domain_safe
check_validation_split_redundancy validation_split_redundancy
check_vendor_model_support vendor_model_support
check_vf_residual_exchangeability_precondition vf_residual_exchangeability_precondition
check_vf_residual_marker_matrix_well_conditioned vf_residual_marker_matrix_well_conditioned
check_visualization_interval_reachable visualization_interval_reachable
check_workflow_component_regime workflow_component_regime
check_workflow_dataset_signal_domain workflow_dataset_signal_domain
check_workflow_declared workflow_declared
check_workflow_required_axes workflow_required_axes
check_workflow_signal_domain workflow_signal_domain
check_workflow_spatial_rank workflow_spatial_rank
check_zenflow_accumulation_conflict zenflow_accumulation_conflict
